comparison,baseline,candidate,accuracy_delta_pp,tps_ratio,nfe_ratio,tokens_ratio,gained,lost,changed_outputs,mcnemar_exact_p_unadjusted,scaling_efficiency
calibration_data_gsm8k_vs_ultrachat,fp8-fp8_e4m3-ultrachat-2gpu-graph,fp8-fp8_e4m3-gsm8k-train-2gpu-graph,0.37907505686125553,1.039693903247673,0.9551715502128725,0.999522664170377,16,11,1231,0.44206833839416504,
kv_quantization,fp8-bf16-none-2gpu-graph,fp8-fp8_e4m3-ultrachat-2gpu-graph,0.07581501137224889,0.5369322092030119,1.0702702702702702,1.01305633836871,12,11,1222,1.0,
kv_quantization,fp8-bf16-none-2gpu-graph,fp8-fp8_e4m3-gsm8k-train-2gpu-graph,0.4548900682335044,0.5582451443656756,1.022291713200804,1.01257277028098,16,10,1207,0.32693958282470703,
calibration_data_gsm8k_vs_ultrachat,fp8-fp8_e4m3-ultrachat-4gpu-graph,fp8-fp8_e4m3-gsm8k-train-4gpu-graph,0.0,1.024529133055077,0.9783701243829036,1.0101441423076716,11,11,1225,1.0,
kv_quantization,fp8-bf16-none-4gpu-graph,fp8-fp8_e4m3-ultrachat-4gpu-graph,-0.37907505686125553,0.47028210185400693,1.0550081331331331,1.0126298292121159,7,12,1216,0.359283447265625,
kv_quantization,fp8-bf16-none-4gpu-graph,fp8-fp8_e4m3-gsm8k-train-4gpu-graph,-0.37907505686125553,0.48181771410380514,1.0321884384384385,1.0229020903046369,8,13,1210,0.38331031799316406,
joint_quantization,bf16-bf16-none-4gpu-graph,fp8-fp8_e4m3-ultrachat-4gpu-graph,-0.30326004548900665,0.758600377351492,0.9812487271246109,0.9931882903594462,8,12,1225,0.5034446716308594,
gpu_scaling,fp8-fp8_e4m3-ultrachat-2gpu-graph,fp8-fp8_e4m3-ultrachat-4gpu-graph,-0.22744503411675776,1.164137584723524,0.9384895789854467,0.9886844889722164,12,15,1201,0.7011080384254456,0.582068792361762
joint_quantization,bf16-bf16-none-4gpu-graph,fp8-fp8_e4m3-gsm8k-train-4gpu-graph,-0.30326004548900665,0.7772081869431784,0.9600244392074714,1.0032633337151655,8,12,1220,0.5034446716308594,
gpu_scaling,fp8-fp8_e4m3-gsm8k-train-2gpu-graph,fp8-fp8_e4m3-gsm8k-train-4gpu-graph,-0.6065200909780133,1.1471577035395035,0.9612829924838315,0.9991907946926745,7,15,1212,0.13380050659179688,0.5735788517697518
gpu_scaling,fp8-bf16-none-2gpu-graph,fp8-bf16-none-4gpu-graph,0.22744503411674666,1.3291234404151384,0.9520661157024793,0.9891009126004411,12,9,1157,0.6636238098144531,0.6645617202075692
cuda_graph,bf16-bf16-none-4gpu-eager,bf16-bf16-none-4gpu-graph,-0.22744503411675776,1.5991371135584007,1.1591265491948402,1.0270256220845133,9,12,1035,0.6636238098144531,
cuda_graph,fp8-bf16-none-2gpu-eager,fp8-bf16-none-2gpu-graph,0.22744503411675776,2.667109734226307,1.1062697680548235,1.0183628300425966,14,11,1134,0.6900379657745361,
cuda_graph,fp8-bf16-none-4gpu-eager,fp8-bf16-none-4gpu-graph,0.37907505686125553,3.162113758311978,1.0507148726376336,1.0013680634694415,12,7,1155,0.359283447265625,
cuda_graph,fp8-fp8_e4m3-ultrachat-2gpu-eager,fp8-fp8_e4m3-ultrachat-2gpu-graph,0.0,1.5001628579655193,1.153064989652351,1.024653551437422,8,8,1177,1.0,
cuda_graph,fp8-fp8_e4m3-ultrachat-4gpu-eager,fp8-fp8_e4m3-ultrachat-4gpu-graph,-0.6823351023502622,1.8137902631984548,1.0341586814871597,1.0065061984363526,5,14,1177,0.063568115234375,
cuda_graph,fp8-fp8_e4m3-gsm8k-train-2gpu-eager,fp8-fp8_e4m3-gsm8k-train-2gpu-graph,0.15163002274449777,1.599397372538356,1.0516060842792152,1.0056430397173943,11,9,1176,0.8238029479980469,
cuda_graph,fp8-fp8_e4m3-gsm8k-train-4gpu-eager,fp8-fp8_e4m3-gsm8k-train-4gpu-graph,-0.15163002274450887,1.8381527543490386,1.0202838502210816,1.001854162288414,8,10,1180,0.8145294189453125,
